Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.15     0.00   675182     0.00     0.00  std::tr1::__detail::_Hash_code_base<aalta_formula*, aalta_formula*, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, false>::_M_hash_code(aalta_formula* const&) const
  0.00      1.15     0.00   661181     0.00     0.00  aalta_formula::aalta_formula(aalta_formula const&)
  0.00      1.15     0.00   661181     0.00     0.00  aalta_formula::operator=(aalta_formula const&)
  0.00      1.15     0.00   638665     0.00     0.00  std::tr1::__detail::_Hashtable_iterator<aalta_formula*, true, false>::_Hashtable_iterator(std::tr1::__detail::_Hash_node<aalta_formula*, false>*, std::tr1::__detail::_Hash_node<aalta_formula*, false>**)
  0.00      1.15     0.00   625408     0.00     0.00  Minisat::Lit::operator!=(Minisat::Lit) const
  0.00      1.15     0.00   600415     0.00     0.00  std::tr1::hash<int>::operator()(int) const
  0.00      1.15     0.00   598970     0.00     0.00  std::_Identity<aalta_formula*>::operator()(aalta_formula* const&) const
  0.00      1.15     0.00   573159     0.00     0.00  Minisat::vec<int>::push(int const&)
  0.00      1.15     0.00   549973     0.00     0.00  Minisat::vec<Minisat::lbool>::operator[](int)
  0.00      1.15     0.00   539849     0.00     0.00  std::tr1::__detail::_Hashtable_iterator<aalta_formula*, true, false>::operator*() const
  0.00      1.15     0.00   525315     0.00     0.00  std::tr1::__detail::_Hashtable_iterator<aalta_formula*, true, false>::_Hashtable_iterator(std::tr1::__detail::_Hash_node<aalta_formula*, false>**)
  0.00      1.15     0.00   518976     0.00     0.00  aalta_formula::af_hash::operator()(aalta_formula const&) const
  0.00      1.15     0.00   515057     0.00     0.00  Minisat::ClauseAllocator::operator[](unsigned int)
  0.00      1.15     0.00   500183     0.00     0.00  std::tr1::__detail::_Hash_code_base<int, std::pair<int const, aalta_formula*>, std::_Select1st<std::pair<int const, aalta_formula*> >, std::equal_to<int>, std::tr1::hash<int>, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, false>::_M_bucket_index(int const&, unsigned long, unsigned long) const
  0.00      1.15     0.00   499731     0.00     0.00  Minisat::vec<int>::operator[](int) const
  0.00      1.15     0.00   496106     0.00     0.00  std::tr1::_Hashtable<int, std::pair<int const, aalta_formula*>, std::allocator<std::pair<int const, aalta_formula*> >, std::_Select1st<std::pair<int const, aalta_formula*> >, std::equal_to<int>, std::tr1::hash<int>, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, false, true>::_M_find_node(std::tr1::__detail::_Hash_node<std::pair<int const, aalta_formula*>, false>*, int const&, unsigned long) const
  0.00      1.15     0.00   496106     0.00     0.00  std::tr1::__detail::_Hash_code_base<int, std::pair<int const, aalta_formula*>, std::_Select1st<std::pair<int const, aalta_formula*> >, std::equal_to<int>, std::tr1::hash<int>, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const
  0.00      1.15     0.00   476706     0.00     0.00  std::tr1::_Hashtable<aalta_formula*, aalta_formula*, std::allocator<aalta_formula*>, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, std::tr1::__detail::_Prime_rehash_policy, false, true, true>::insert(aalta_formula* const&)
  0.00      1.15     0.00   476706     0.00     0.00  std::pair<std::tr1::__detail::_Hashtable_iterator<aalta_formula*, true, false>, bool>::pair(std::tr1::__detail::_Hashtable_iterator<aalta_formula*, true, false> const&, bool const&)
  0.00      1.15     0.00   476706     0.00     0.00  std::pair<std::tr1::__detail::_Hashtable_iterator<aalta_formula*, true, false>, bool> std::make_pair<std::tr1::__detail::_Hashtable_iterator<aalta_formula*, true, false>, bool>(std::tr1::__detail::_Hashtable_iterator<aalta_formula*, true, false>, bool)
  0.00      1.15     0.00   476642     0.00     0.00  std::tr1::__detail::_Hash_code_base<aalta_formula*, aalta_formula*, std::_Identity<aalta_formula*>, aalta_formula::af_prt_eq, aalta_formula::af_prt_hash2, std::tr1::__detail::_Mod_range_hashing, std::tr1::__detail::_Default_ranged_hash, false>::_M_store_code(std::tr1::__detail::_Hash_node<aalta_formula*, false>*, unsigned long) const
